生まれ年,年代,体力年齢,性別,身長,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1969.0,50代男性,35~39,男,168.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1970.0,50代男性,35~39,男,167.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1970.0,50代男性,55~59,男,171.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1971.0,50代男性,20~24,男,173.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1971.0,50代男性,35~39,男,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1971.0,50代男性,25~29,男,180.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1971.0,50代男性,50~54,男,167.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代男性,25~29,男,171.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代男性,30~34,男,172.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1973.0,40代男性,FALSE,男,0.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,False,2ステップの距離,False,False,False,False,False,False,棒反応,False
1974.0,40代男性,30~34,男,174.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1974.0,40代男性,35~39,男,0.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,False,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1974.0,40代男性,20~24,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1974.0,40代男性,40~44,男,180.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1974.0,40代男性,40~44,男,171.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1975.0,40代男性,30~34,男,176.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1975.0,40代男性,55~59,男,171.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1975.0,40代男性,35~39,男,174.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1976.0,40代男性,50~54,男,162.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1976.0,40代男性,45~49,男,167.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1977.0,40代男性,40~44,男,181.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1977.0,40代男性,20~24,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1979.0,40代男性,25~29,男,172.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1979.0,40代男性,30~34,男,167.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1979.0,40代男性,25~29,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1979.0,40代男性,40~44,男,168.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,False,立ち上がり,False,False,2ステップ,2ステップの距離,立ち幅跳び,False,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1980.0,40代男性,40~44,男,175.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1980.0,40代男性,20~24,男,172.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1980.0,40代男性,40~44,男,159.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,False,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1981.0,40代男性,55~59,男,172.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1981.0,40代男性,25~29,男,176.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1981.0,40代男性,40~44,男,172.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1982.0,40代男性,45~49,男,165.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1982.0,40代男性,25~29,男,174.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
1982.0,40代男性,45~49,男,176.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1982.0,40代男性,20~24,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
nan,40代男性,20~24,男,177.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
nan,40代男性,40~44,男,182.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
nan,40代男性,35~39,男,178.0,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,False,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,肺活量
nan,40代男性,45~49,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,40代男性,40~44,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,40代男性,35~39,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,40代男性,40~44,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,40代男性,45~49,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,35~39,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,35~39,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,45~49,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,35~39,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,35~39,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,20~24,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,20~24,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,25~29,男,170.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
nan,30代男性,25~29,男,175.0,握力（右）,握力（左）,握力平均,上体起こし,False,False,False,False,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,False,長座体前屈,閉眼片足立ち,False,False
